target_id,declared_break_offset,runtime_boundary_offset,reason,text_context
PASSION24.HOUR.09.P010,147,147,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"r la promesse de ne jamais Me laisser seul. » Oui, mon Jésus, avec l’aide de ta Grâce et en m’identifiant"
PASSION24.HOUR.10.P002,206,206,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,", et tous ceux qui sont ici M’ont entendu ! » À ces Paroles, tous tremblent. Perfidement, un serviteur s’"
PASSION24.HOUR.11.P010,141,141,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"sses M’accorder. Sois fidèle et attentive ! » Mon doux Amour, le vacarme de tes ennemis est si considérab"
PASSION24.HOUR.11.P021,251,251,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"poser aux occasions en Me suivant de loin ! » Mon Bien renié, comme elles se reconnaissent vite les offen"
PASSION24.HOUR.11.P030,126,126,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"ées du Ciel pour juger toutes les nations. » À ces Paroles solennelles, tous font silence et frissonnent "
PASSION24.HOUR.13.P005,147,148,SUPERSEDED_BY_EXISTING_DISPLAY_SEGMENT_BOUNDARY_AT_NEXT_LEXICAL_START,"afin que Je puisse continuer ma Vie en toi. » Mon Jésus, à ma stupeur, je vois qu’au lieu de Te préoccupe"
PASSION24.HOUR.15.P005,162,162,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET, Je ne sois pas remis au pouvoir des Juifs. » Pilate est surpris et touché par la suavité et la dignité d
PASSION24.HOUR.16.P015,103,103,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,s Barabbas pour réparer toutes ces fautes ! » Comme elles sont réelles et incessantes nos décisions de fa
PASSION24.HOUR.16.P028,76,76,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"à ce que Je fais, prie et répare avec Moi ! » Jésus torturé, ton Amour passe d’un excès à l’autre. Je voi"
PASSION24.HOUR.16.P045,193,193,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"n qu’ils soient forcés de céder devant Moi. » Jésus, l’Amour avec lequel Tu souffres, est si grand, que T"
PASSION24.HOUR.17.P014,47,47,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"i, unis-toi à Moi, prie et répare avec Moi. » Poursuivant dans leurs cruautés, tes ennemis Te font asseoi"
PASSION24.HOUR.17.P027,155,155,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"contiennent, et constitue-Moi Roi de tous. » Mon Amour, je Te prie de me piquer les oreilles de tes épine"
PASSION24.HOUR.17.P044,293,293,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"ations et continue à contempler mes Peines. » Mon Amour, je vois que, Te voyant si mal en point, Pilate f"
PASSION24.HOUR.18.P002,61,61,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"gémissements, je T’entends dire : « Croix ! » Chaque goutte de ton Sang proclame : « Croix ! »"
PASSION24.HOUR.18.P031,156,156,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"-les-Moi, sauve-les-Moi. Je te les confie ! » Anxieux, Tu Te la fais placer sur tes Épaules infiniment sa"
PASSION24.HOUR.18.P113,148,148,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"Volonté de mon Père Éternel le veut ainsi ! » Mon Bien dénudé, tandis qu’avec Toi je répare, je Te prie q"
PASSION24.HOUR.19.P018,95,95,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"ires, Triomphes et Couronnes à mes enfants. » Mais, qui peut dire tout ce que mon doux Jésus a dit sur la"
PASSION24.HOUR.19.P126,145,145,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET," desséchée par la Soif, brûlée par l’Amour. » Mon Jésus plein d’amertume, ma voix, fondue dans la Tienne,"
PASSION24.HOUR.19.P137,119,119,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"erses sur elles tes Grâces de Miséricorde ! » Mon Jésus, ton Amour est un doux enchantement pour moi et m"
PASSION24.HOUR.19.P165,150,150,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET," que toutes les autres créatures ensemble ! » Mais Toi, ô mon Jésus, triomphant de tout, Tu défends même "
PASSION24.HOUR.20.P010,63,63,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"eur, car ils ne savent pas ce qu’ils font ! » Et, de nouveau, Tu Te renfermes dans le silence, Tu es plon"
PASSION24.HOUR.21.P020,69,69,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET," dit à sa Maman : « Femme, voici ton fils ! » et à Jean : « Voici ta Mère ! »"
PASSION24.HOUR.21.P023,137,137,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"toi-même, aie au moins pitié de mon Amour ! » Leur ayant tout donné, Tu n’as plus rien à donner aux créat"
PASSION24.HOUR.21.P025,118,118,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"ie de tendresse : « Femme, voici ton Fils ! » et Tu dis à Jean : « Voici ta Mère ! »"
PASSION24.HOUR.21.P027,216,216,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"mes enfants. Toi, tu Me les sauveras tous ! » Et ta sainte Maman accepte. Je veux ici, ô mon Jésus, répar"
PASSION24.HOUR.21.P068,86,86,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"laies, pour ma Mort ! Ne M’abandonnez pas ! » Mon Amour, combien je suis désolée ! Tu T’essouffles !"
PASSION24.HOUR.22.P006,160,160,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"s très affaiblies, Tu cries : « J’ai soif ! » Ah ! cette Parole, Tu la dis de tout ton divin Cœur :"
PASSION24.HOUR.22.P022,23,23,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"« Tout est consommé ! » Ô mon Jésus, Tu as déjà tout épuisé. Il ne Te reste rien d’"
PASSION24.HOUR.22.REF.P001,237,238,SUPERSEDED_BY_EXISTING_DISPLAY_SEGMENT_BOUNDARY_AT_NEXT_LEXICAL_START,"f qui Le brûle, dit : « Tout est consommé ! » Jésus S’est sacrifié tout entier pour nous. Et nous, en tou"
PASSION24.HOUR.24.DESOL.P014,119,119,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"complir le sacrifice de me séparer de Toi ! » Maman affligée, tu penches ta tête sur celle de Jésus, tu L"
PASSION24.HOUR.24.DESOL.P027,79,79,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"onne-moi tes Peines, autrement je mourrai ! » Ta douleur est telle, ô Maman, qu’elle te paralyse, te coup"
PASSION24.HOUR.24.DESOL.P037,62,62,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"e pourra vivre par le moyen de tes Peines ! » Maman torturée, je vois que tu te hâtes, car ceux qui sont "
PASSION24.SECTION.BENEFITS.P102,195,195,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,urs lèvres pour répéter ce qu'elles disent !» Il ajouta : «Au milieu de tant d'amertume que Me donnent le
PASSION24.SECTION.BENEFITS.P116,217,217,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"gnée en ces temps, serait en partie apaisée.» Un jour, alors que j'en étais à l'Heure où la céleste Maman"
PASSION24.SECTION.BENEFITS.P122,78,78,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"avec une grande douceur : «Ma maman, maman !» Et Il me murmura tout ce que sa douce Maman fit et souffrit"
PASSION24.SECTION.BENEFITS.P136,157,157,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET," mais plutôt du bien, Je M'appuie sur elles.» Jésus béni ajouta : «"
PASSION24.SECTION.BENEFITS.P139,77,77,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"ous, implorer pour tous et répondre de tous.""»"
PASSION24.SECTION.BENEFITS.P149,140,140,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,ar torrents. Ah ! Ma fille ! Ah ! Ma fille !» Puis Il
PASSION24.TEXT.PART_III_MARY_SORROWS.BODY.P057,78,78,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"e façon admirable ce dicton Me concernant : ""Il est à la fois ancien et nouveau."""
PASSION24.TEXT.PART_III_MARY_SORROWS.BODY.P069,60,60,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"c la Reine de la Création, pour avoir dépassé «le Tout»."
PASSION24.TEXT.PART_III_MARY_SORROWS.BODY.P069,70,,TERMINAL_NO_FOLLOWING_NARRATION_NO_RUNTIME_SPLIT_REQUIRED," de la Création, pour avoir dépassé «le Tout»."
PASSION24.TEXT.PART_III_MARY_SORROWS.BODY.P100,40,40,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"Et Je Lui demandais alors sans cesse : ""Maman, veux-Tu faire ceci ? Veux-Tu souffrir cette peine ?"""
PASSION24.TEXT.PROMISES_BENEFITS.BODY.P097,195,195,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,urs lèvres pour répéter ce qu'elles disent !» Il ajouta : «Au milieu de tant d'amertume que Me donnent le
PASSION24.TEXT.PROMISES_BENEFITS.BODY.P111,217,217,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"gnée en ces temps, serait en partie apaisée.» Un jour, alors que j'en étais à l'Heure où la céleste Maman"
PASSION24.TEXT.PROMISES_BENEFITS.BODY.P117,78,78,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"avec une grande douceur : «Ma maman, maman !» Et Il me murmura tout ce que sa douce Maman fit et souffrit"
PASSION24.TEXT.PROMISES_BENEFITS.BODY.P131,157,157,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET," mais plutôt du bien, Je M'appuie sur elles.» Jésus béni ajouta : «"
PASSION24.TEXT.PROMISES_BENEFITS.BODY.P134,77,77,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"ous, implorer pour tous et répondre de tous.""»"
PASSION24.TEXT.PROMISES_BENEFITS.BODY.P144,140,140,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,ar torrents. Ah ! Ma fille ! Ah ! Ma fille !» Puis Il
PASSION24.TEXT.RELATED_HOUR_01.BODY.P047,317,317,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"es bénédictions à Mon Cœur tendre et blessé.""»"
PASSION24.TEXT.RELATED_HOUR_06.BODY.P011,69,69,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"ses, J'entendrai l'écho de la Divine Volonté. «"
PASSION24.TEXT.RELATED_HOUR_06.BODY.P033,111,111,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"e afin d'imprimer en elle ces morts d'Amour.» En disant cela, de sa sainte main, Jésus imprima ces morts "
PASSION24.TEXT.RELATED_HOUR_06.BODY.P036,121,121,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"on pas Ma Volonté mais la Tienne soit faite.» Bougeant en moi, mon doux Jésus me dit : «"
PASSION24.TEXT.RELATED_HOUR_06.BODY.P043,49,49,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"non pas Ma Volonté mais la Tienne soit faite"" ?"
PASSION24.TEXT.RELATED_HOUR_06.BODY.P047,58,58,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,te prière au tout début de Ma Passion. Car le « que Ta Volonté soit faite sur la terre comme au Ciel » ét
PASSION24.TEXT.RELATED_HOUR_06.BODY.P051,210,210,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"ar conséquent, Je devais d'abord accomplir le « Fiat Voluntas Tua sur la terre comme au Ciel », pour ensu"
PASSION24.TEXT.RELATED_HOUR_06.BODY.P051,259,259,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"iat Voluntas Tua sur la terre comme au Ciel », pour ensuite accomplir la Rédemption par Mes Souffrances."
PASSION24.TEXT.RELATED_HOUR_06.BODY.P053,121,121,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,ce contrat que J'ai fait avec Mon Divin Père. «
PASSION24.TEXT.RELATED_HOUR_06.BODY.P054,35,35,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"que Sa Volonté règne sur la terre », but véritable de la Création et but principal pour lequel "
PASSION24.TEXT.RELATED_HOUR_06.BODY.P058,49,49,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"non pas Ma volonté mais la tienne soit faite"" ?"
PASSION24.TEXT.RELATED_HOUR_06.BODY.P068,311,311,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"ais en prière, c'était pour une seule chose : «"
PASSION24.TEXT.RELATED_HOUR_07.BODY.P036,43,43,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"Je suis tout à eux et ils sont tout à Moi.» Pensant à ce que Jésus m'avait dit, je me disais : «"
PASSION24.TEXT.RELATED_HOUR_10.BODY.P009,268,268,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"ner en risée, ce qui Me déplairait beaucoup.» Ensuite, Jésus me dit : «Tout ce que Je te demande, c'est d"
PASSION24.TEXT.RELATED_HOUR_13.BODY.P013,162,162,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"ur ? Cherche-Moi dans ton cœur et aime-Moi !""»"
PASSION24.TEXT.RELATED_HOUR_13.BODY.P039,422,422,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"serviront à lier tous les cœurs à Mon Amour.» Plus tard, je me suis dit : «"
PASSION24.TEXT.RELATED_HOUR_13.BODY.P056,128,128,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"uche, de tes yeux, de tes mains, de tes pieds et de"
PASSION24.TEXT.RELATED_HOUR_13.BODY.P138,37,37,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"Le cher et charmant petit Bébé déposa dans le Cœur de sa Maman son premier acte de Naissance, ses"
PASSION24.TEXT.RELATED_HOUR_14.BODY.P019,66,66,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"eront pour invectiver davantage la religion.» Plus tard, alors que je me replongeais dans la méditation, "
PASSION24.TEXT.RELATED_HOUR_15.BODY.P109,426,426,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"mpêchent d'être reconnu pour ce que Je suis.» Plus tard, se montrant de nouveau à moi alors que j'étais c"
PASSION24.TEXT.RELATED_HOUR_15.BODY.P174,33,33,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"Me sentant malade, Je Me disais : «"
PASSION24.TEXT.RELATED_HOUR_16.BODY.P047,140,140,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"ement le poids de l'ingratitude des hommes !» Se jetant alors dans mes bras, Jésus fondit en larmes."
PASSION24.TEXT.RELATED_HOUR_16.BODY.P096,250,250,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,rotéger devant les droits de notre Justice. » Qui pourrait décrire la manière de prier de Jésus et rappel
PASSION24.TEXT.RELATED_HOUR_17.BODY.P032,102,102,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET, du péché que ces épines suscitaient en Moi.» Je regardais mon aimable Jésus et Je pouvais voir sa tête t
PASSION24.TEXT.RELATED_HOUR_17.BODY.P050,51,51,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"dit : «Allons, tu verras ce qu'elles feront.» Nous sommes partis et quand nous sommes arrivés à un endroi"
PASSION24.TEXT.RELATED_HOUR_17.BODY.P051,90,90,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,en présentant Jésus au peuple : «Ecce Homo !» «Voici l'Homme !»
PASSION24.TEXT.RELATED_HOUR_17.BODY.P054,203,203,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"rs, le Seigneur répéta à tous : «Ecce Homo !» Sur ces mots, un murmure se fit entendre."
PASSION24.TEXT.RELATED_HOUR_17.BODY.P057,95,95,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"es religieux et voyons s'ils veulent de Moi.» Alors, nous nous sommes trouvés au milieu de prêtres, d'évê"
PASSION24.TEXT.RELATED_HOUR_17.BODY.P058,50,50,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"une voix sonore, Jésus répéta : «Ecce Homo !» Certains dirent : «Nous Le voulons, mais nous voulons aussi"
PASSION24.TEXT.RELATED_HOUR_17.BODY.P067,41,41,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"Ma fille, au moment où Ponce Pilate dit : «Voici l'homme», Ils crièrent tous : «Crucifie-Le, crucifie"
PASSION24.TEXT.RELATED_HOUR_17.BODY.P067,78,78,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"te dit : «Voici l'homme», Ils crièrent tous : «Crucifie-Le, crucifie-Le, nous Le voulons mort.»"
PASSION24.TEXT.RELATED_HOUR_17.BODY.P073,53,53,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,ssentis autant de morts que le nombre de cris «Crucifie-Le» ;
PASSION24.TEXT.RELATED_HOUR_17.BODY.P073,67,67,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET, de morts que le nombre de cris «Crucifie-Le» ;
PASSION24.TEXT.RELATED_HOUR_18.BODY.P072,274,274,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"ais chemins des Vertus. Je M'en réjouissais.» Je lui dis : «Mais, Jésus très saint, après le grand sacrif"
PASSION24.TEXT.RELATED_HOUR_19.BODY.P067,151,151,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"sus, ta Vie, qui veut ce soulagement de toi.» Seul Jésus sait ce que j'ai alors souffert."
PASSION24.TEXT.RELATED_HOUR_19.BODY.P074,317,317,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"; Je serai avec toi pour te donner la force.» En disant cela, Il continua de souffler."
PASSION24.TEXT.RELATED_HOUR_20.BODY.P015,105,105,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET," en Moi afin que tu puisses tout reproduire.» Plus tard, en recevant l'absolution de mon confesseur, je m"
PASSION24.TEXT.RELATED_HOUR_20.BODY.P023,108,108,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"est-à-dire qu'il répète tout ce que Je fais.» Puis, Il disparut. Quelques heures plus tard, Il revint et "
PASSION24.TEXT.RELATED_HOUR_20.BODY.P024,313,313,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"ette créature, à travers cette même Volonté.» Cela dit, Il approcha sa Bouche de la mienne et, presque en"
PASSION24.TEXT.RELATED_HOUR_20.BODY.P028,413,413,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"vent la gloire et l'honneur d'un Acte divin.» Ensuite, Il disparut. Quant à moi, je me fusionnai dans la "
PASSION24.TEXT.RELATED_HOUR_21.BODY.P059,94,94,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,ssé de M'aimer et de vivre dans Ma Volonté ?» Je repris : «Non ! Et que cela ne soit jamais !»
PASSION24.TEXT.RELATED_HOUR_21.BODY.P090,282,282,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"re tout ce que J'ai mérité par Mon abandon !» Cela dit, Il disparut."
PASSION24.TEXT.RELATED_HOUR_21.BODY.P147,164,164,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"soufflent l’amour et des mers qui murmurent : « Je vous aime, je vous aime. »"
PASSION24.TEXT.RELATED_HOUR_21.BODY.P169,170,170,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"sentent les unes après les autres pour dire : « Adieu, la terre est finie pour toi. Maintenant commence l"
PASSION24.TEXT.RELATED_HOUR_21.BODY.P170,96,96,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET," dans une chambre et que quelqu’un lui dise : « Derrière cette porte, il y a une autre chambre dans laque"
PASSION24.TEXT.RELATED_HOUR_22.BODY.P063,146,146,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"aire, et incapable de Me contenir, Je criai : « J’ai soif ! » Ce « J’ai soif » est resté et continue de d"
PASSION24.TEXT.RELATED_HOUR_22.BODY.P063,165,165,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"de Me contenir, Je criai : « J’ai soif ! » Ce « J’ai soif » est resté et continue de dire « J’ai soif ». "
PASSION24.TEXT.RELATED_HOUR_22.BODY.P063,209,209,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,e « J’ai soif » est resté et continue de dire « J’ai soif ». Je n’arrête jamais de le dire. Avec Mes plai
PASSION24.TEXT.RELATED_HOUR_22.BODY.P063,321,321,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"rtes et Ma Bouche brûlante, Je dis toujours : « Je brûle, J’ai soif ! »"
PASSION24.TEXT.RELATED_HOUR_22.BODY.P064,169,169,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"pète toujours la bouche ouverte et brûlante : « Donne-Moi à boire, J’ai une soif ardente. »"
PASSION24.TEXT.RELATED_HOUR_22.BODY.P065,70,70,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"disloquée et blessée n’avait qu’un seul cri : « J’ai soif »,"
PASSION24.TEXT.RELATED_HOUR_22.BODY.P065,84,,TERMINAL_NO_FOLLOWING_NARRATION_NO_RUNTIME_SPLIT_REQUIRED,"lessée n’avait qu’un seul cri : « J’ai soif »,"
