file,line,status,text
version.json,4,SUPPORTED,"  ""cache_name"": ""luisa-24h-v101-90"","
version.json,5,SUPPORTED,"  ""personal_snapshot"": 5,"
version.json,6,SUPPORTED,"  ""real_device_status"": ""v101.89 R2 physical iPhone/iPad evidence failed for internal Approfondir extract headings (Tome … — date — …): Apple menu appeared but app Surligner/Note/Copier/Fermer did not. v101.90 integrates all 94 extract headings into the ordinary annotation surface; exact physical-device retest required."","
version.json,7,SUPPORTED,"  ""storage_schema"": 8"
version.json,8,SUPPORTED,}
manifest.json,1,SUPPORTED,{
manifest.json,2,SUPPORTED,"  ""name"": ""Les 24 Heures de la Passion"","
manifest.json,3,SUPPORTED,"  ""short_name"": ""24 Heures"","
manifest.json,4,SUPPORTED,"  ""description"": ""Les 24 Heures de la Passion — parcours de prière."","
manifest.json,5,SUPPORTED,"  ""start_url"": ""./luisa_24_heures.html"","
manifest.json,6,SUPPORTED,"  ""display"": ""standalone"","
manifest.json,7,SUPPORTED,"  ""orientation"": ""any"","
manifest.json,8,SUPPORTED,"  ""background_color"": ""#3D1212"","
manifest.json,9,SUPPORTED,"  ""theme_color"": ""#3D1212"","
manifest.json,10,SUPPORTED,"  ""lang"": ""fr"","
manifest.json,11,SUPPORTED,"  ""icons"": ["
manifest.json,12,SUPPORTED,    {
manifest.json,13,SUPPORTED,"      ""src"": ""icon-192.png"","
manifest.json,14,SUPPORTED,"      ""sizes"": ""192x192"","
manifest.json,15,SUPPORTED,"      ""type"": ""image/png"","
manifest.json,16,SUPPORTED,"      ""purpose"": ""any"""
manifest.json,17,SUPPORTED,"    },"
manifest.json,18,SUPPORTED,    {
manifest.json,19,SUPPORTED,"      ""src"": ""icon-512.png"","
manifest.json,20,SUPPORTED,"      ""sizes"": ""512x512"","
manifest.json,21,SUPPORTED,"      ""type"": ""image/png"","
manifest.json,22,SUPPORTED,"      ""purpose"": ""any"""
manifest.json,23,SUPPORTED,"    },"
manifest.json,24,SUPPORTED,    {
manifest.json,25,SUPPORTED,"      ""src"": ""icon-maskable-512.png"","
manifest.json,26,SUPPORTED,"      ""sizes"": ""512x512"","
manifest.json,27,SUPPORTED,"      ""type"": ""image/png"","
manifest.json,28,SUPPORTED,"      ""purpose"": ""maskable"""
manifest.json,29,SUPPORTED,    }
manifest.json,30,SUPPORTED,"  ],"
manifest.json,31,SUPPORTED,"  ""id"": ""./"","
manifest.json,32,SUPPORTED,"  ""scope"": ""./"","
manifest.json,33,SUPPORTED,"  ""categories"": ["
manifest.json,34,SUPPORTED,"    ""books"","
manifest.json,35,SUPPORTED,"    ""education"","
manifest.json,36,SUPPORTED,"    ""lifestyle"""
manifest.json,37,SUPPORTED,"  ],"
manifest.json,38,SUPPORTED,"  ""display_override"": ["
manifest.json,39,SUPPORTED,"    ""standalone"","
manifest.json,40,SUPPORTED,"    ""browser"""
manifest.json,41,SUPPORTED,"  ],"
manifest.json,42,SUPPORTED,"  ""version"": ""v101.90"""
manifest.json,43,SUPPORTED,}
reports/pass1_files_vs_script.json,1,SUPPORTED,{
reports/pass1_files_vs_script.json,2,SUPPORTED,"  ""baseline_sha256"": ""d6ba4b975d16a8601b91ce0a1e52128bb4aab8e018ffb52530c284c23941a35f"","
reports/pass1_files_vs_script.json,3,SUPPORTED,"  ""governing_script_sha256"": ""8fd3fd33dd8f1882705f93b7ae4e503a22a014238d46cbf101d6ca8407b62bcd"","
reports/pass1_files_vs_script.json,4,SUPPORTED,"  ""build_script_sha256"": ""cb67e986ce01d19cd03f4648f63ebe197703e4340793f5c91fec020f643dfc36"","
reports/pass1_files_vs_script.json,5,SUPPORTED,"  ""runtime_twins_identical"": true,"
reports/pass1_files_vs_script.json,6,SUPPORTED,"  ""protected_hashes_baseline"": {"
reports/pass1_files_vs_script.json,7,SUPPORTED,"    ""CORPUS"": ""9a03d835b4306fdf3a087cae4de38e4fe4892625775df96f5f9b790dcfa7e740"","
reports/pass1_files_vs_script.json,8,SUPPORTED,"    ""TEXT_LIBRARY"": ""8912faff465b73d67c7c1e5113d04d848c991902ccaa6fe1914accad0da91983"","
reports/pass1_files_vs_script.json,9,SUPPORTED,"    ""HOUR_LINKED_TEXTS"": ""abffddceeaf11cd74f043bea1d97568f2bd1ba28fb1fbc541610d282039c0095"","
reports/pass1_files_vs_script.json,10,SUPPORTED,"    ""SPEECH_DATA"": ""4c535a3263728ea5c37fbb247300e330e6e83136fa72ce15421f02f618a3d833"","
reports/pass1_files_vs_script.json,11,SUPPORTED,"    ""INTERNAL_SUBHEADINGS"": ""2cdc80893e8afad04d8990d3f7cbd240367fbbac51a360a1d12dcf46636708ae"","
reports/pass1_files_vs_script.json,12,SUPPORTED,"    ""SPEECH_END_VISUAL_BREAKS"": ""7beb9257530b6ab68409be582a4d3a618b158e4d3a24fbc7c704e83aae93f204"""
reports/pass1_files_vs_script.json,13,SUPPORTED,"  },"
reports/pass1_files_vs_script.json,14,SUPPORTED,"  ""protected_hashes_candidate"": {"
reports/pass1_files_vs_script.json,15,SUPPORTED,"    ""CORPUS"": ""9a03d835b4306fdf3a087cae4de38e4fe4892625775df96f5f9b790dcfa7e740"","
reports/pass1_files_vs_script.json,16,SUPPORTED,"    ""TEXT_LIBRARY"": ""8912faff465b73d67c7c1e5113d04d848c991902ccaa6fe1914accad0da91983"","
reports/pass1_files_vs_script.json,17,SUPPORTED,"    ""HOUR_LINKED_TEXTS"": ""abffddceeaf11cd74f043bea1d97568f2bd1ba28fb1fbc541610d282039c0095"","
reports/pass1_files_vs_script.json,18,SUPPORTED,"    ""SPEECH_DATA"": ""4c535a3263728ea5c37fbb247300e330e6e83136fa72ce15421f02f618a3d833"","
reports/pass1_files_vs_script.json,19,SUPPORTED,"    ""INTERNAL_SUBHEADINGS"": ""2cdc80893e8afad04d8990d3f7cbd240367fbbac51a360a1d12dcf46636708ae"","
reports/pass1_files_vs_script.json,20,SUPPORTED,"    ""SPEECH_END_VISUAL_BREAKS"": ""7beb9257530b6ab68409be582a4d3a618b158e4d3a24fbc7c704e83aae93f204"""
reports/pass1_files_vs_script.json,21,SUPPORTED,"  },"
reports/pass1_files_vs_script.json,22,SUPPORTED,"  ""protected_identical"": true,"
reports/pass1_files_vs_script.json,23,SUPPORTED,"  ""heading_count"": 94,"
reports/pass1_files_vs_script.json,24,SUPPORTED,"  ""indexed_reading_count"": 27,"
reports/pass1_files_vs_script.json,25,SUPPORTED,"  ""schema"": 8,"
reports/pass1_files_vs_script.json,26,SUPPORTED,"  ""snapshot"": 5,"
reports/pass1_files_vs_script.json,27,SUPPORTED,"  ""version"": ""v101.90"","
reports/pass1_files_vs_script.json,28,SUPPORTED,"  ""cache"": ""luisa-24h-v101-90"""
reports/pass1_files_vs_script.json,29,SUPPORTED,}
reports/pass2_runtime_package.json,1,SUPPORTED,{
reports/pass2_runtime_package.json,2,SUPPORTED,"  ""runtime_tests"": 9,"
reports/pass2_runtime_package.json,3,SUPPORTED,"  ""pass"": 9,"
reports/pass2_runtime_package.json,4,SUPPORTED,"  ""fail"": 0,"
reports/pass2_runtime_package.json,5,SUPPORTED,"  ""screenshot_targets"": ["
reports/pass2_runtime_package.json,6,SUPPORTED,"    ""PASSION24.TEXT.RELATED_HOUR_18.BODY.P050"","
reports/pass2_runtime_package.json,7,SUPPORTED,"    ""PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P064"""
reports/pass2_runtime_package.json,8,SUPPORTED,"  ],"
reports/pass2_runtime_package.json,9,SUPPORTED,"  ""all_94_headings_tested"": true"
reports/pass2_runtime_package.json,10,SUPPORTED,}
reports/runtime_extract_heading_audit.json,1,SUPPORTED,[
reports/runtime_extract_heading_audit.json,2,SUPPORTED,  {
reports/runtime_extract_heading_audit.json,3,SUPPORTED,"    ""test"": ""heading universe 94"","
reports/runtime_extract_heading_audit.json,4,SUPPORTED,"    ""status"": ""PASS"","
reports/runtime_extract_heading_audit.json,5,SUPPORTED,"    ""detail"": ""94"""
reports/runtime_extract_heading_audit.json,6,SUPPORTED,"  },"
reports/runtime_extract_heading_audit.json,7,SUPPORTED,  {
reports/runtime_extract_heading_audit.json,8,SUPPORTED,"    ""test"": ""indexed reading universe 27"","
reports/runtime_extract_heading_audit.json,9,SUPPORTED,"    ""status"": ""PASS"","
reports/runtime_extract_heading_audit.json,10,SUPPORTED,"    ""detail"": ""27"""
reports/runtime_extract_heading_audit.json,11,SUPPORTED,"  },"
reports/runtime_extract_heading_audit.json,12,SUPPORTED,  {
reports/runtime_extract_heading_audit.json,13,SUPPORTED,"    ""test"": ""all 94 heading targets/ranges"","
reports/runtime_extract_heading_audit.json,14,SUPPORTED,"    ""status"": ""PASS"","
reports/runtime_extract_heading_audit.json,15,SUPPORTED,"    ""detail"": ""[]"""
reports/runtime_extract_heading_audit.json,16,SUPPORTED,"  },"
reports/runtime_extract_heading_audit.json,17,SUPPORTED,  {
reports/runtime_extract_heading_audit.json,18,SUPPORTED,"    ""test"": ""screenshot target PASSION24.TEXT.RELATED_HOUR_18.BODY.P050"","
reports/runtime_extract_heading_audit.json,19,SUPPORTED,"    ""status"": ""PASS"","
reports/runtime_extract_heading_audit.json,20,SUPPORTED,"    ""detail"": ""{\""ok\"": true, \""id\"": \""PASSION24.TEXT.RELATED_HOUR_18.BODY.P050\"", \""text\"": \""Être, à l’intérieur\"", \""bar\"": \""Texte sélectionné\\n    \\n      ◐Surligner\\n      ✎Note\\n      ⎘Copier\\n      ✕Fermer\\n    \""}"""
reports/runtime_extract_heading_audit.json,21,SUPPORTED,"  },"
reports/runtime_extract_heading_audit.json,22,SUPPORTED,  {
reports/runtime_extract_heading_audit.json,23,SUPPORTED,"    ""test"": ""screenshot target PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P064"","
reports/runtime_extract_heading_audit.json,24,SUPPORTED,"    ""status"": ""PASS"","
reports/runtime_extract_heading_audit.json,25,SUPPORTED,"    ""detail"": ""{\""ok\"": true, \""id\"": \""PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P064\"", \""text\"": \""Jésus par la Divinité\"", \""bar\"": \""Texte sélectionné\\n    \\n      ◐Surligner\\n      ✎Note\\n      ⎘Copier\\n      ✕Fermer\\n    \""}"""
reports/runtime_extract_heading_audit.json,26,SUPPORTED,"  },"
reports/runtime_extract_heading_audit.json,27,SUPPORTED,  {
reports/runtime_extract_heading_audit.json,28,SUPPORTED,"    ""test"": ""screenshot heading render/recolour"","
reports/runtime_extract_heading_audit.json,29,SUPPORTED,"    ""status"": ""PASS"","
reports/runtime_extract_heading_audit.json,30,SUPPORTED,"    ""detail"": ""{\""yellow\"": true, \""blue\"": true, \""keep\"": true, \""textSame\"": true, \""target\"": true}"""
reports/runtime_extract_heading_audit.json,31,SUPPORTED,"  },"
reports/runtime_extract_heading_audit.json,32,SUPPORTED,  {
reports/runtime_extract_heading_audit.json,33,SUPPORTED,"    ""test"": ""live index anchors close over headings"","
reports/runtime_extract_heading_audit.json,34,SUPPORTED,"    ""status"": ""PASS"","
reports/runtime_extract_heading_audit.json,35,SUPPORTED,"    ""detail"": ""[]"""
reports/runtime_extract_heading_audit.json,36,SUPPORTED,"  },"
reports/runtime_extract_heading_audit.json,37,SUPPORTED,  {
reports/runtime_extract_heading_audit.json,38,SUPPORTED,"    ""test"": ""top title/body selection regression"","
reports/runtime_extract_heading_audit.json,39,SUPPORTED,"    ""status"": ""PASS"","
reports/runtime_extract_heading_audit.json,40,SUPPORTED,"    ""detail"": ""{\""title\"": true, \""body\"": true}"""
reports/runtime_extract_heading_audit.json,41,SUPPORTED,"  },"
reports/runtime_extract_heading_audit.json,42,SUPPORTED,  {
reports/runtime_extract_heading_audit.json,43,SUPPORTED,"    ""test"": ""Samsung paragraph target regression"","
reports/runtime_extract_heading_audit.json,44,SUPPORTED,"    ""status"": ""PASS"","
reports/runtime_extract_heading_audit.json,45,SUPPORTED,"    ""detail"": ""{\""recognized\"": true, \""whole\"": true, \""id\"": \""PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P064\""}"""
reports/runtime_extract_heading_audit.json,46,SUPPORTED,  }
reports/runtime_extract_heading_audit.json,47,SUPPORTED,]
